Code;Service;COD;;;;;;;;;;;;;;;;;;;;;;;;;;
BMFLEXI;Massebrev Flexi;l;;;;;;;;;;;;;;;;;;;;;;;;;;
BMMAXI;Massebrev Maxi;l;;;;;;;;;;;;;;;;;;;;;;;;;;
