Code;Service;COD;COLD;DNG;FRZ;OPAY;RPAY;WARM;;;;;;;;;;;;;;
FTLDKSTD;FREJA Transport & Logistics A/S;l;l;l;l;l;l;l;;;;;;;;;;;;;;
