Code;Service;;;;;;;;;;;;;;;;;;;;;
DLGG;Delego Gods;;;;;;;;;;;;;;;;;;;;;
DLGILG;Delego Internt Gods;;;;;;;;;;;;;;;;;;;;;
DLGILP;Delego Internt Paket;;;;;;;;;;;;;;;;;;;;;
DLGP;Delego Paket;;;;;;;;;;;;;;;;;;;;;
