Code;Service;COD;OPAY;RPAY;WARM;EXPR;;;;;;;;;;;;;;;;;
SBTLNOSG;DB SCHENKERstykkgods;l;l;l;l;l;;;;;;;;;;;;;;;;;
SBTLNOPG;DB SCHENKERpartigods;;l;l;l;;;;;;;;;;;;;;;;;;
