Code;Service;COD;RPAY;OPAY;NOT;DRY;COLD;FRZ;;;;;;;;;;;;;;;;;;;;
FSDSTD;Bring Frigoscandia Inrikes Transport;l;l;l;l;l;l;l;;;;;;;;;;;;;;;;;;;;
