Code;Service;COD;RPAY;DNG;INSU;WARM;OPAY;DLV;;;;;;;;;;;;;;
DTPGPF;DFDS Tollpost-Globe AS (Partifrakt);;l;l;l;l;l;;;;;;;;;;;;;;;
DTPGSG;DFDS Tollpost-Globe AS (Stykkgods);l;l;l;l;l;l;l;;;;;;;;;;;;;;
