Code;Service;COD;RPAY;OPAY;NOT;DLV;DNG;INSU;COLD;WARM
FREEG;Neutralt Gods;l;l;l;l;l;l;l;l;l
FREEP;Neutral Etikett;l;l;l;l;;;l;;
