Code;Service;COD;COLD;DNG;FRZ;OPAY;RPAY;WARM;;;;;;;;;;;;;;
FTLSESTD;FREJA Transport & Logistics AB;l;l;l;l;l;l;l;;;;;;;;;;;;;;
